app_id,tag
1184370,RPG
1184370,Action
1184370,PvE
1184370,Open World
1184370,Party-Based RPG
1184370,Romance
1184370,Strategy
1184370,Turn-Based Strategy
1184370,Sexual Content
1184370,Story Rich
1184370,Fantasy
1184370,CRPG
1190000,Simulation
1190000,Automobile Sim
1190000,Realistic
1190000,Sandbox
1190000,Moddable
1190000,Driving
1190000,Racing
1190000,3D
1190000,Singleplayer
1190000,Education
1190000,First-Person
1190000,Immersive Sim
1190000,Puzzle
1190000,Open World
1190000,Atmospheric
1190000,Adventure
1190000,Minigames
1190000,VR
1190000,Indie
1190000,Strategy
1196590,Survival Horror
1196590,Horror
1196590,First-Person
1196590,Singleplayer
1196590,Action
1196590,Sexual Content
1196590,Zombies
1196590,Gore
1196590,Story Rich
1196590,FPS
1196590,Atmospheric
1196590,Violent
1196590,Dark
1196590,Survival
1196590,Psychological Horror
1196590,VR
1196590,Adventure
1196590,Open World
1196590,Multiplayer
1196590,Nudity
1203220,Battle Royale
1203220,Multiplayer
1203220,Martial Arts
1203220,Mature
1203220,PvP
1203220,Action
1203220,Female Protagonist
1203220,Character Customization
1203220,Massively Multiplayer
1203220,Fighting
1203220,Survival
1203220,Third Person
1203220,Swordplay
1203220,Hack and Slash
1203220,Anime
1203220,Parkour
1203220,Adventure
1203220,Free to Play
1203220,Violent
1203220,Gore
1203620,Open World
1203620,Survival
1203620,Base-Building
1203620,Multiplayer
1203620,Online Co-Op
1203620,Crafting
1203620,RPG
1203620,Adventure
1203620,Action RPG
1203620,Exploration
